0xE065,eta_nu_perispomeni,,ῆν,,0xE715,eta_nu_perispomeni,57445,59157,1712,E065,E715,6B0
0x03D1,theta_symbol,ϑ,θ,ϑ,0x03D1,theta_symbol,977,977,0,3D1,3D1,0
0xE070,theta_1,,θ,,0xE720,theta_1,57456,59168,1712,E070,E720,6B0
0x03D5,phi_symbol,ϕ,φ,ϕ,0x03D5,phi_symbol,981,981,0,3D5,3D5,0
0xE071,phi_iota_oxia,,φί,,0xE722,phi_iota_oxia,57457,59170,1713,E071,E722,6B1
0xE072,phi_iota,,φι,,0xE721,phi_iota,57458,59169,1711,E072,E721,6AF
0x03D7,kai_symbol,ϗ,καὶ,ϗ,0x03D7,kai_symbol,983,983,0,3D7,3D7,0
0xE090,kappa_alpha_iota_1_varia,,καὶ,,0xE740,kappa_alpha_iota_1_varia,57488,59200,1712,E090,E740,6B0
0xE091,kappa_alpha_iota_2_varia,,καὶ,,0xE741,kappa_alpha_iota_2_varia,57489,59201,1712,E091,E741,6B0
0xE092,kappa_alpha_iota_3_varia,,καὶ,,0xE742,kappa_alpha_iota_3_varia,57490,59202,1712,E092,E742,6B0
0xE093,kappa_alpha_iota_4_varia,,καὶ,,0xE743,kappa_alpha_iota_4_varia,57491,59203,1712,E093,E743,6B0
0xE094,kappa_alpha_tau_alpha,,κατα,,0xE744,kappa_alpha_tau_alpha,57492,59204,1712,E094,E744,6B0
0xE0A0,lambda_lambda,,λλ,,0xE750,lambda_lambda,57504,59216,1712,E0A0,E750,6B0
0xE0B0,mu_epsilon_nu_1,,μεν,,0xE760,mu_epsilon_nu_1,57520,59232,1712,E0B0,E760,6B0
0xE0B1,mu_epsilon_nu_1_oxia,,μέν,,0xE765,mu_epsilon_nu_1_oxia,57521,59237,1716,E0B1,E765,6B4
0xE0B2,mu_epsilon_nu_2,,μεν,,0xE761,mu_epsilon_nu_2,57522,59233,1711,E0B2,E761,6AF
0xE0B3,mu_epsilon_nu_3,,μεν,,0xE762,mu_epsilon_nu_3,57523,59234,1711,E0B3,E762,6AF
0xE0B4,mu_epsilon_nu_3_varia,,μὲν,,0xE764,mu_epsilon_nu_3_varia,57524,59235,1711,E0B4,E763,6AF
0xE0B5,mu_epsilon_nu_4_varia,,μὲν,,0xE763,mu_epsilon_nu_4_varia,57525,59236,1711,E0B5,E764,6AF
0xE0C0,nu_final,,ν,,0xE770,nu_final,57536,59248,1712,E0C0,E770,6B0
0xE0D0,xi_1,,ξ,,0xE780,xi_1,57552,59264,1712,E0D0,E780,6B0
0xE0E1,omicron_upsilon,,ου,,0xE793,omicron_upsilon,57569,59283,1714,E0E1,E793,6B2
