NoDiaWord	Strong	RMAC	Lemma
εστιν	G2076	V-PXI-3S	εἰμί
τεξεται	G5088	V-FDI-3S	τίκτω
υιον	G5207	N-ASM	υἱός
καλεσεις	G2564	V-FAI-2S	καλέω
το	G3588	T-ASN	ὁ
ονομα	G3686	N-ASN	ὄνομα
ιησουν	G2424	N-ASM	Ἰησοῦς
αυτος	G846	P-NSM	αὐτός
σωσει	G4982	V-FAI-3S	σώζω
λαον	G2992	N-ASM	λαός
των	G3588	T-GPF	ὁ
αμαρτιων	G266	N-GPF	ἁμαρτία
αυτων	G846	P-GPM	αὐτός
τουτο	G5124	D-NSN	οὗτος
ολον	G3650	A-NSN	ὅλος
γεγονεν	G1096	V-2RAI-3S	γίνομαι
ινα	G2443	CONJ	ἵνα
πληρωθη	G4137	V-APS-3S	πληρόω
ρηθεν	G4483	V-APP-NSN	ῥέω
υπο	G5259	PREP	ὑπό
δια	G1223	PREP	διά
προφητου	G4396	N-GSM	προφήτης
λεγοντος	G3004	V-PAP-GSN	λέγω
παρθενος	G3933	N-NSF	παρθένος
εξει	G2192	V-FAI-3S	ἔχω
καλεσουσι	G2564	V-FAI-3P	καλέω
εμμανουηλ	G1694	N-PRI	Ἐμμανουήλ
ο	G3739	R-NSN	ὅς
εστι	G2076	V-PXI-3S	εἰμί
μεθερμηνευομενον	G3177	V-PPP-NSN	μεθερμηνεύω
μεθ	G3326	PREP	μετά
ημων	G2257	P-1GP	ἐγώ
θεος	G2316	N-NSM	θεός
διεγερθεις	G1326	V-APP-NSM	διεγείρω
υπνου	G5258	N-GSM	ὕπνος
εποιησεν	G4160	V-AAI-3S	ποιέω
ως	G5613	ADV	ὡς
προσεταξεν	G4367	V-AAI-3S	προστάσσω
παρελαβε	G3880	V-2AAI-3S	παραλαμβάνω
ουκ	G3756	PRT-N	οὐ
εγινωσκεν	G1097	V-IAI-3S	γινώσκω
ου	G3739	R-GSM	ὅς
ετεκε	G5088	V-2AAI-3S	τίκτω
πρωτοτοκον	G4416	A-ASM	πρωτοτόκος
εκαλεσε	G2564	V-AAI-3S	καλέω
γεννηθεντος	G1080	V-APP-GSM	γεννάω
βηθλεεμ	G965	N-PRI	Βηθλεέμ
ιουδαιας	G2449	N-GSF	Ἰουδαία
ημεραις	G2250	N-DPF	ἡμέρα
ηρωδου	G2264	N-GSM	Ἡρώδης
βασιλεως	G935	N-GSM	βασιλεύς
μαγοι	G3097	N-NPM	μάγος
ανατολων	G395	N-GPF	ἀνατολή
παρεγενοντο	G3854	V-2ADI-3P	παραγίνομαι
εις	G1519	PREP	εἰς
ιεροσολυμα	G2414	N-ASF	Ἱεροσόλυμα
λεγοντες	G3004	V-PAP-NPM	λέγω
που	G4226	PRT-I	ποῦ
τεχθεις	G5088	V-APP-NSM	τίκτω
των	G3588	T-GPM	ὁ
ιουδαιων	G2453	A-GPM	Ἰουδαῖος
ειδομεν	G1492	V-2AAI-1P	εἴδω
αστερα	G792	N-ASM	ἀστήρ
τη	G3588	T-DSF	ὁ
ανατολη	G395	N-DSF	ἀνατολή
ηλθομεν	G2064	V-2AAI-1P	ἔρχομαι
προσκυνησαι	G4352	V-AAN	προσκυνέω
ακουσας	G191	V-AAP-NSM	ἀκούω
ηρωδης	G2264	N-NSM	Ἡρώδης
εταραχθη	G5015	V-API-3S	ταράσσω
πασα	G3956	A-NSF	πᾶς
ιεροσολυμα	G2414	N-NSF	Ἱεροσόλυμα
μετ	G3326	PREP	μετά
συναγαγων	G4863	V-2AAP-NSM	συνάγω
παντας	G3956	A-APM	πᾶς
αρχιερεις	G749	N-APM	ἀρχιερεύς
γραμματεις	G1122	N-APM	γραμματεύς
λαου	G2992	N-GSM	λαός
επυνθανετο	G4441	V-INI-3S	πυνθάνομαι
παρ	G3844	PREP	παρά
γενναται	G1080	V-PPI-3S	γεννάω
οι	G3588	T-NPM	ὁ
ειπον	G2036	V-2AAI-3P	ἔπω
ουτω	G3779	ADV	οὕτω
γεγραπται	G1125	V-RPI-3S	γράφω
συ	G4771	P-2NS	σύ
γη	G1093	N-VSF	γῆ
ιουδα	G2448	N-GSM	Ἰουδά
ουδαμως	G3760	ADV	οὐδαμῶς
ελαχιστη	G1646	A-NSF	ἐλάχιστος
ει	G1488	V-PXI-2S	εἰμί
τοις	G3588	T-DPM	ὁ
ηγεμοσιν	G2232	N-DPM	ἡγεμών
εξελευσεται	G1831	V-FDI-3S	ἐξέρχομαι
ηγουμενος	G2233	V-PNP-NSM	ἡγέομαι
οστις	G3748	R-NSM	ὅστις
ποιμανει	G4165	V-FAI-3S	ποιμαίνω
μου	G3450	P-1GS	ἐγώ
ισραηλ	G2474	N-PRI	Ἰσραήλ
τοτε	G5119	ADV	τότε
καλεσας	G2564	V-AAP-NSM	καλέω
μαγους	G3097	N-APM	μάγος
ηκριβωσε	G198	V-AAI-3S	ἀκριβόω
χρονον	G5550	N-ASM	χρόνος
φαινομενου	G5316	V-PEP-GSM	φαίνω
αστερος	G792	N-GSM	ἀστήρ
πεμψας	G3992	V-AAP-NSM	πέμπω
ειπε	G2036	V-2AAI-3S	ἔπω
πορευθεντες	G4198	V-AOP-NPM	πορεύομαι
ακριβως	G199	ADV	ἀκριβώς
εξετασατε	G1833	V-AAM-2P	ἐξετάζω
περι	G4012	PREP	περί
του	G3588	T-GSN	ὁ
παιδιου	G3813	N-GSN	παιδίον
επαν	G1875	CONJ	ἐπάν
ευρητε	G2147	V-2AAS-2P	εὑρίσκω
απαγγειλατε	G518	V-AAM-2P	ἀπαγγέλλω
μοι	G3427	P-1DS	ἐγώ
οπως	G3704	ADV	ὅπως
καγω	G2504	P-1NS-C	καγώ
ελθων	G2064	V-2AAP-NSM	ἔρχομαι
προσκυνησω	G4352	V-AAS-1S	προσκυνέω
ακουσαντες	G191	V-AAP-NPM	ἀκούω
επορευθησαν	G4198	V-AOI-3P	πορεύομαι
αστηρ	G792	N-NSM	ἀστήρ
ον	G3739	R-ASM	ὅς
ειδον	G1492	V-2AAI-3P	εἴδω
προηγεν	G4254	V-IAI-3S	προάγω
εστη	G2476	V-2AAI-3S	ἵστημι
επανω	G1883	ADV	ἐπάνω
ου	G3757	ADV	οὗ
παιδιον	G3813	N-NSN	παιδίον
ιδοντες	G1492	V-2AAP-NPM	εἴδω
εχαρησαν	G5463	V-2AOI-3P	χαίρω
χαραν	G5479	N-ASF	χαρά
μεγαλην	G3173	A-ASF	μέγας
σφοδρα	G4970	ADV	σφόδρα
ελθοντες	G2064	V-2AAP-NPM	ἔρχομαι
οικιαν	G3614	N-ASF	οἰκία
ευρον	G2147	V-2AAI-3P	εὑρίσκω
παιδιον	G3813	N-ASN	παιδίον
αυτου	G846	P-GSN	αὐτός
πεσοντες	G4098	V-2AAP-NPM	πίπτω
προσεκυνησαν	G4352	V-AAI-3P	προσκυνέω
ανοιξαντες	G455	V-AAP-NPM	ἀνοίγω
θησαυρους	G2344	N-APM	θησαυρός
προσηνεγκαν	G4374	V-AAI-3P	προσφέρω
δωρα	G1435	N-APN	δῶρον
χρυσον	G5557	N-ASM	χρυσός
λιβανον	G3030	N-ASM	λίβανος
σμυρναν	G4666	N-ASF	σμύρνα
χρηματισθεντες	G5537	V-APP-NPM	χρηματίζω
ανακαμψαι	G344	V-AAN	ἀνακάμπτω
προς	G4314	PREP	πρός
ηρωδην	G2264	N-ASM	Ἡρώδης
δι	G1223	PREP	διά
αλλης	G243	A-GSF	ἄλλος
οδου	G3598	N-GSF	ὁδός
ανεχωρησαν	G402	V-AAI-3P	ἀναχωρέω
χωραν	G5561	N-ASF	χώρα
αναχωρησαντων	G402	V-AAP-GPM	ἀναχωρέω
φαινεται	G5316	V-PEI-3S	φαίνω
εγερθεις	G1453	V-APP-NSM	ἐγείρω
παραλαβε	G3880	V-2AAM-2S	παραλαμβάνω
μητερα	G3384	N-ASF	μήτηρ
φευγε	G5343	V-PAM-2S	φεύγω
αιγυπτον	G125	N-ASF	Αἴγυπτος
ισθι	G2468	V-PXM-2S	εἰμί
εκει	G1563	ADV	ἐκεῖ
αν	G302	PRT	ἄν
ειπω	G2036	V-2AAS-1S	ἔπω
σοι	G4671	P-2DS	σύ
μελλει	G3195	V-PAI-3S	μέλλω
ζητειν	G2212	V-PAN	ζητέω
απολεσαι	G622	V-AAN	ἀπόλλυμι
αυτο	G846	P-ASN	αὐτός
νυκτος	G3571	N-GSF	νύξ
ανεχωρησεν	G402	V-AAI-3S	ἀναχωρέω
τελευτης	G5054	N-GSF	τελευτή
αιγυπτου	G125	N-GSF	Αἴγυπτος
εκαλεσα	G2564	V-AAI-1S	καλέω
ιδων	G1492	V-2AAP-NSM	εἴδω
οτι	G3754	CONJ	ὅτι
ενεπαιχθη	G1702	V-API-3S	ἐμπαίζω
μαγων	G3097	N-GPM	μάγος
εθυμωθη	G2373	V-API-3S	θυμόω
λιαν	G3029	ADV	λίαν
αποστειλας	G649	V-AAP-NSM	ἀποστέλλω
ανειλε	G337	V-2AAI-3S	ἀναιρέω
παιδας	G3816	N-APM	παῖς
πασι	G3956	A-DPN	πᾶς
τοις	G3588	T-DPN	ὁ
οριοις	G3725	N-DPN	ὅριον
διετους	G1332	A-GSM	διετής
κατωτερω	G2736	ADV	κάτω
κατα	G2596	PREP	κατά
παρα	G3844	PREP	παρά
επληρωθη	G4137	V-API-3S	πληρόω
ιερεμιου	G2408	N-GSM	Ἱερεμίας
φωνη	G5456	N-NSF	φωνή
ραμα	G4471	N-PRI	Ῥαμά
ηκουσθη	G191	V-API-3S	ἀκούω
θρηνος	G2355	N-NSM	θρῆνος
κλαυθμος	G2805	N-NSM	κλαυθμός
οδυρμος	G3602	N-NSM	ὀδυρμός
πολυς	G4183	A-NSM	πολύς
ραχηλ	G4478	N-PRI	Ῥαχήλ
κλαιουσα	G2799	V-PAP-NSF	κλαίω
τα	G3588	T-APN	ὁ
τεκνα	G5043	N-APN	τέκνον
ηθελε	G2309	V-IAI-3S	θέλω
παρακληθηναι	G3870	V-APN	παρακαλέω
εισι	G1526	V-PXI-3P	εἰσί
τελευτησαντος	G5053	V-AAP-GSM	τελευτάω
αιγυπτω	G125	N-DSF	Αἴγυπτος
πορευου	G4198	V-PNM-2S	πορεύομαι
γην	G1093	N-ASF	γῆ
τεθνηκασι	G2348	V-RAI-3P	θνήσκω
ζητουντες	G2212	V-PAP-NPM	ζητέω
ψυχην	G5590	N-ASF	ψυχή
ηλθεν	G2064	V-2AAI-3S	ἔρχομαι
αρχελαος	G745	N-NSM	Ἀρχέλαος
βασιλευει	G936	V-PAI-3S	βασιλεύω
αντι	G473	PREP	ἀντί
πατρος	G3962	N-GSM	πατήρ
εφοβηθη	G5399	V-AOI-3S	φοβέω
απελθειν	G565	V-2AAN	ἀπέρχομαι
χρηματισθεις	G5537	V-APP-NSM	χρηματίζω
μερη	G3313	N-APN	μέρος
γαλιλαιας	G1056	N-GSF	Γαλιλαία
κατωκησεν	G2730	V-AAI-3S	κατοικέω
πολιν	G4172	N-ASF	πόλις
λεγομενην	G3004	V-PPP-ASF	λέγω
ναζαρετ	G3478	N-PRI	Ναζαρέθ
προφητων	G4396	N-GPM	προφήτης
ναζωραιος	G3480	N-NSM	Ναζωραῖος
κληθησεται	G2564	V-FPI-3S	καλέω
ταις	G3588	T-DPF	ὁ
εκειναις	G1565	D-DPF	ἐκεῖνος
παραγινεται	G3854	V-PNI-3S	παραγίνομαι
ιωαννης	G2491	N-NSM	Ἰωάννης
βαπτιστης	G910	N-NSM	Βαπτιστής
κηρυσσων	G2784	V-PAP-NSM	κηρύσσω
ερημω	G2048	A-DSF	ἔρημος
μετανοειτε	G3340	V-PAM-2P	μετανοέω
ηγγικε	G1448	V-RAI-3S	ἐγγίζω
βασιλεια	G932	N-NSF	βασιλεία
ουρανων	G3772	N-GPM	οὐρανός
ουτος	G3778	D-NSM	οὗτος
ρηθεις	G4483	V-APP-NSM	ῥέω
ησαιου	G2268	N-GSM	Ἡσαίας
λεγοντος	G3004	V-PAP-GSM	λέγω
βοωντος	G994	V-PAP-GSM	βοάω
ετοιμασατε	G2090	V-AAM-2P	ἑτοιμάζω
οδον	G3598	N-ASF	ὁδός
ευθειας	G2117	A-APF	εὐθύς
ποιειτε	G4160	V-PAM-2P	ποιέω
τας	G3588	T-APF	ὁ
τριβους	G5147	N-APF	τρίβος
ειχε	G2192	V-IAI-3S	ἔχω
ενδυμα	G1742	N-ASN	ἔνδυμα
τριχων	G2359	N-GPF	θρίξ
καμηλου	G2574	N-GSM	κάμηλος
ζωνην	G2223	N-ASF	ζώνη
δερματινην	G1193	A-ASF	δερμάτινος
οσφυν	G3751	N-ASF	ὀσφύς
τροφη	G5160	N-NSF	τροφή
ακριδες	G200	N-NPF	ἀκρίς
μελι	G3192	N-NSN	μέλι
αγριον	G66	A-NSN	ἄγριος
εξεπορευετο	G1607	V-INI-3S	ἐκπορεύομαι
αυτον	G846	P-ASM	αὐτός
ιουδαια	G2449	N-NSF	Ἰουδαία
περιχωρος	G4066	A-NSM	περίχωρος
ιορδανου	G2446	N-GSM	Ἰορδάνης
εβαπτιζοντο	G907	V-IPI-3P	βαπτίζω
ιορδανη	G2446	N-DSM	Ἰορδάνης
υπ	G5259	PREP	ὑπό
εξομολογουμενοι	G1843	V-PMP-NPM	ἐξομολογέω
αμαρτιας	G266	N-APF	ἁμαρτία
πολλους	G4183	A-APM	πολύς
φαρισαιων	G5330	N-GPM	Φαρισαῖος
σαδδουκαιων	G4523	N-GPM	Σαδδουκαῖος
ερχομενους	G2064	V-PNP-APM	ἔρχομαι
βαπτισμα	G908	N-ASN	βάπτισμα
ειπεν	G2036	V-2AAI-3S	ἔπω
αυτοις	G846	P-DPM	αὐτός
γεννηματα	G1081	N-VPN	γέννημα
εχιδνων	G2191	N-GPF	ἔχιδνα
τις	G5101	I-NSM	τίς
υπεδειξεν	G5263	V-AAI-3S	ὑποδείκνυμι
υμιν	G5213	P-2DP	σύ
φυγειν	G5343	V-2AAN	φεύγω
μελλουσης	G3195	V-PAP-GSF	μέλλω
οργης	G3709	N-GSF	ὀργή
ποιησατε	G4160	V-AAM-2P	ποιέω
καρπους	G2590	N-APM	καρπός
αξιους	G514	A-APM	ἄξιος
μετανοιας	G3341	N-GSF	μετάνοια
δοξητε	G1380	V-AAS-2P	δοκέω
λεγειν	G3004	V-PAN	λέγω
εαυτοις	G1438	F-3DPM	ἑαυτού
πατερα	G3962	N-ASM	πατήρ
εχομεν	G2192	V-PAI-1P	ἔχω
λεγω	G3004	V-PAI-1S	λέγω
δυναται	G1410	V-PNI-3S	δύναμαι
λιθων	G3037	N-GPM	λίθος
τουτων	G5130	D-GPM	οὗτος
εγειραι	G1453	V-AAN	ἐγείρω
ηδη	G2235	ADV	ἤδη
αξινη	G513	N-NSF	ἀξίνη
ριζαν	G4491	N-ASF	ῥίζα
των	G3588	T-GPN	ὁ
δενδρων	G1186	N-GPN	δένδρον
κειται	G2749	V-PNI-3S	κεῖμαι
παν	G3956	A-NSN	πᾶς
δενδρον	G1186	N-NSN	δένδρον
ποιουν	G4160	V-PAP-NSN	ποιέω
καρπον	G2590	N-ASM	καρπός
καλον	G2570	A-ASM	καλός
εκκοπτεται	G1581	V-PPI-3S	ἐκκόπτω
πυρ	G4442	N-ASN	πῦρ
βαλλεται	G906	V-PPI-3S	βάλλω
εγω	G1473	P-1NS	ἐγώ
μεν	G3303	PRT	μέν
βαπτιζω	G907	V-PAI-1S	βαπτίζω
υμας	G5209	P-2AP	σύ
υδατι	G5204	N-DSN	ὕδωρ
μετανοιαν	G3341	N-ASF	μετάνοια
οπισω	G3694	ADV	ὀπίσω
ερχομενος	G2064	V-PNP-NSM	ἔρχομαι
ισχυροτερος	G2478	A-NSM-C	ἰσχυρός
ειμι	G1510	V-PXI-1S	εἰμί
ικανος	G2425	A-NSM	ἱκανός
υποδηματα	G5266	N-APN	ὑπόδημα
βαστασαι	G941	V-AAN	βαστάζω
βαπτισει	G907	V-FAI-3S	βαπτίζω
πνευματι	G4151	N-DSN	πνεῦμα
αγιω	G40	A-DSN	ἅγιος
πυρι	G4442	N-DSN	πῦρ
πτυον	G4425	N-NSN	πτύον
χειρι	G5495	N-DSF	χείρ
διακαθαριει	G1245	V-FAI-3S-ATT	διακαθαρίζω
αλωνα	G257	N-ASF	ἅλων
συναξει	G4863	V-FAI-3S	συνάγω
σιτον	G4621	N-ASM	σίτος
αποθηκην	G596	N-ASF	ἀποθήκη
αχυρον	G892	N-ASN	ἄχυρον
κατακαυσει	G2618	V-FAI-3S	κατακαίω
ασβεστω	G762	A-DSN	ἄσβεστος
ιορδανην	G2446	N-ASM	Ἰορδάνης
ιωαννην	G2491	N-ASM	Ἰωάννης
βαπτισθηναι	G907	V-APN	βαπτίζω
διεκωλυεν	G1254	V-IAI-3S	διακωλύω
χρειαν	G5532	N-ASF	χρεία
εχω	G2192	V-PAI-1S	ἔχω
ερχη	G2064	V-PNI-2S	ἔρχομαι
με	G3165	P-1AS	μέ
αποκριθεις	G611	V-AOP-NSM	ἀποκρίνομαι
αφες	G863	V-2AAM-2S	ἀφίημι
αρτι	G737	ADV	ἄρτι
πρεπον	G4241	V-PQP-NSN	πρέπω
ημιν	G2254	P-1DP	ἐγώ
πληρωσαι	G4137	V-AAN	πληρόω
πασαν	G3956	A-ASF	πᾶς
δικαιοσυνην	G1343	N-ASF	δικαιοσύνη
αφιησιν	G863	V-PAI-3S	ἀφίημι
βαπτισθεις	G907	V-APP-NSM	βαπτίζω
ανεβη	G305	V-2AAI-3S	ἀναβαίνω
ευθυς	G2117	ADV	εὐθύς
υδατος	G5204	N-GSN	ὕδωρ
ανεωχθησαν	G455	V-API-3P	ἀνοίγω
ουρανοι	G3772	N-NPM	οὐρανός
ειδε	G1492	V-2AAI-3S	εἴδω
πνευμα	G4151	N-ASN	πνεῦμα
θεου	G2316	N-GSM	θεός
καταβαινον	G2597	V-PAP-ASN	καταβαίνω
ωσει	G5616	ADV	ὡσεί
περιστεραν	G4058	N-ASF	περιστερά
ερχομενον	G2064	V-PNP-ASN	ἔρχομαι
επ	G1909	PREP	ἐπί
λεγουσα	G3004	V-PAP-NSF	λέγω
αγαπητος	G27	A-NSM	ἀγαπητός
ω	G3739	R-DSM	ὅς
ευδοκησα	G2106	V-AAI-1S	εὐδοκέω
ανηχθη	G321	V-API-3S	ἀνάγω
ερημον	G2048	A-ASF	ἔρημος
πειρασθηναι	G3985	V-APN	πειράζω
διαβολου	G1228	A-GSM	διάβολος
νηστευσας	G3522	V-AAP-NSM	νηστεύω
ημερας	G2250	N-APF	ἡμέρα
τεσσαρακοντα	G5062	A-NUI	τεσσαράκοντα
νυκτας	G3571	N-APF	νύξ
υστερον	G5305	ADV	ὕστερον
επεινασε	G3983	V-AAI-3S	πεινάω
προσελθων	G4334	V-2AAP-NSM	προσέρχομαι
πειραζων	G3985	V-PAP-NSM	πειράζω
ει	G1487	COND	εἰ
ειπε	G2036	V-2AAM-2S	ἔπω
λιθοι	G3037	N-NPM	λίθος
ουτοι	G3778	D-NPM	οὗτος
αρτοι	G740	N-NPM	ἄρτος
γενωνται	G1096	V-2ADS-3P	γίνομαι
αρτω	G740	N-DSM	ἄρτος
μονω	G3441	A-DSM	μόνος
ζησεται	G2198	V-FDI-3S	ζάω
ανθρωπος	G444	N-NSM	ἄνθρωπος
αλλ	G235	CONJ	ἀλλά
παντι	G3956	A-DSN	πᾶς
ρηματι	G4487	N-DSN	ῥήμα
εκπορευομενω	G1607	V-PNP-DSN	ἐκπορεύομαι
στοματος	G4750	N-GSN	στόμα
παραλαμβανει	G3880	V-PAI-3S	παραλαμβάνω
διαβολος	G1228	A-NSM	διάβολος
αγιαν	G40	A-ASF	ἅγιος
ιστησιν	G2476	V-PAI-3S	ἵστημι
πτερυγιον	G4419	N-ASN	πτερύγιον
ιερου	G2411	N-GSN	ἱερόν
λεγει	G3004	V-PAI-3S	λέγω
βαλε	G906	V-2AAM-2S	βάλλω
σεαυτον	G4572	F-2ASM	σεαυτοῦ
κατω	G2736	PREP	κάτω
αγγελοις	G32	N-DPM	ἄγγελος
εντελειται	G1781	V-FNI-3S	ἐντέλλομαι
χειρων	G5495	N-GPF	χείρ
αρουσι	G142	V-FAI-3P	αἴρω
σε	G4571	P-2AS	σύ
μηποτε	G3379	ADV	μήποτε
προσκοψης	G4350	V-AAS-2S	προσκόπτω
λιθον	G3037	N-ASM	λίθος
ποδα	G4228	N-ASM	πούς
εφη	G5346	V-IXI-3S	φημί
παλιν	G3825	ADV	πάλιν
εκπειρασεις	G1598	V-FAI-2S	ἐκπειράζω
κυριον	G2962	N-ASM	κύριος
θεον	G2316	N-ASM	θεός
ορος	G3735	N-ASN	ὄρος
υψηλον	G5308	A-ASN	ὑψηλός
δεικνυσιν	G1166	V-PAI-3S	δεικνύω
πασας	G3956	A-APF	πᾶς
βασιλειας	G932	N-APF	βασιλεία
κοσμου	G2889	N-GSM	κόσμος
δοξαν	G1391	N-ASF	δόξα
αυτων	G846	P-GPF	αὐτός
παντα	G3956	A-APN	πᾶς
δωσω	G1325	V-FAI-1S	δίδωμι
εαν	G1437	COND	ἐάν
πεσων	G4098	V-2AAP-NSM	πίπτω
προσκυνησης	G4352	V-AAS-2S	προσκυνέω
υπαγε	G5217	V-PAM-2S	ὑπάγω
σατανα	G4567	N-VSM	Σατανᾶς
