Word
ἦ
ῖ
ʾ
ʾἀυτοῦ
ʾἀυ
ʾἅρτι
ΑΡΧΗ
Ακούσας
Ακσας
Ακσασα
Αλλη
Αμὴ
Αμ
Αναχωρησάνω
Ανθρωπός
Απʾ
Αποκριθεὶς
Απόεψό
Αυς
Αϐραὰμ
Αϖοκρϊθεὶς
Αη
Α
ΒΙΒΛΟΣ
Βαραϐϐᾶ
Γέα
Γενεὰ
Γεήματα
Γρηγορτε
Γέα
Δαβίδ
Δεῦτε
Δεῦ
Διδάσκαλε
Διὰ
Δοῦλε
Δϊδάσκαλε
Δαε
Εγένετο
Εγέρθη
Εγὼ
Εδόθη
Ει
Εισ
Εισελθόντι
Εισελϑὼν
Εκ
Ελέησο
Ελεγο
Ελθόνω
Ελθὼ
Ετερος
Ετι
Ετρε
Εχετε
Εἰ
Εἰς
Εἴδο
Εἴπα
Εὰ
Εῦ
Είζ
Ε
Ηκούσατε
Ηκσαε
Ηλεὶ
Ησα
Η
Θέλω
Θησαυρίζε
Θύγατερ
ΙΗΣΟΣ
ΙΗΣΟΥ
ΙΗΣΟΥΝ
ΙΗΣΟΥΣ
ΙΗΣΟΥ
ΙΗΣ
ΙΗΣΝ
ΙΗΣΣ
ΙΗΤΟΥΣ
Ιδοὺ
Ιδὼ
Ιωσὴφ
Κάι
Καί
Καταβά
Κατιδία
Κατὰ
Καὶ
Καηου
Κύριε
Κύρίο
Κἀγὼ
Κἂ
Κὰι
Λάϐε
Λέγουσι
Λέγω
Λέγ
Λέγ
Λέγσῖ
Λέω
Λέω
Λέ
Λέ
Λαϐόνς
Λὲγουσι
Λὲγω
Λὲγ
Μέ
Μακάριοι
Μακάριος
Μακάρι
Μακροθύμησο
Μαρίαμ
Μαριάμ
Μετὰ
Μηδενὶ
Μὴ
Ναὶ
Νὰι
Ο
Οι
Ομοΐα
Ομοία
Ομοιώθη
Ορᾶτε
Ος
Οτʼἂ
Ου
Ουαὶ
Ουδεὶς
Ουκ
Οψίας
Οψίασ
Οψὲ
Οψΐας
Οἰ
Οἱ
Οἴδα
Οὐαὶ
Οὕ
Οʼἂ
Οἂ
Ο
Πάλι
Πάνες
Πάν
Πάτερ
Πίε
Πατάξω
Περιατῶ
Ποιήσαε
Πολλοὶ
Πονηρὲ
Πορϑένες
Προσέχεε
Προσελθὼ
Πρωΐας
Πόθε
Πᾶς
Πᾶσαι
Πῶς
Πῶ
Πιπατῶ
Σολομὼ
Σταυρωθήτω
Σταυρωϑήτω
Σύ
Σὺ
Σήκατε
Τί
Τίνα
Τίνι
Τίς
Ταλιθά
Τεθνήκασι
Τελτήσανς
Το
Τούτους
Τοῦ
Τότε
Τόε
Τό
Τὶ
Τὸ
Τότε
Τᾶυτα
Τᾶυα
Τῇ
Τῶ
Ττο
Τʼ
Τ
ΧΡΙΣΤΕ
ΧΡΙΣΤΟΝ
ΧΡΙΣΤΟΣ
ΧΡΙΣΤΟΥ
Χρυσὸ
Χρε
Χρε
Ωερ
άγαθοοιῆσαι
άκάθαρα
άκάθαρον
άρτι
άρχιερεῖς
άυτά
άυην
άυού
άυ
άυ
έιμὶ
έπεσε
έπάνω
έρχετ
έὰ
απελθών
αποκριϑεὶσ
απὸ
αρχιερς
αυτοῖς
αυτοῦ
αυτῇ
αυτῶ
αυοὺ
αυοῖς
αυῷ
αυ
αυ
αἱ
αἶνο
αἷ
αὐτις
αὔριο
αΐῳ
βάθος
βάλε
βάλλε
βάλλ
βάλῃ
βάρ
βάρ
βάσϊλείᾳ
βάε
βάεται
βάοντας
βάονς
βάουσι
βά
βάισμα
βάϊσμα
βάολογήση
βέβληται
βήμαος
βαλοῦσι
βαλ
βαλσα
βαλσι
βαρέως
βαραχί
βαραϐϐᾶ
βαρθολομος
βαρυίμου
βαρύτερα
βασΐλεία
βασανΐςη
βασανιζόμενος
βασανιζόο
βασανϊς
βασαίσαι
βασιλέα
βασιλέυς
βασιλέυσ
βασιλέως
βασιλέω
βασιλέω
βασιλεία
βασιλείαν
βασιλείας
βασιλείασ
βασιλεία
βασιλεία
βασιλείᾳ
βασιλεύσ
βασιλεύ
βασιλεία
βασιλείας
βασιλεία
βασιλεὺς
βασιλεὺ
βασιλ
βασιλσ
βασιλ
βασϊλεία
βασϊλείας
βασϊλεία
βασϊλείᾳ
βασὶλια
βασιζοου
βαϐυλῶνος
βαϐυλῶνο
βαόο
βαΐσ
βαίζομ
βαίζω
βαίσων
βαιζομ
βαιζω
βαισμοὺς
βαισμοὺ
βαιεὶς
βαιῆναι
βαιναι
βαιοῦ
βαιὴς
βαϊΐσεε
βαϊῆαι
βαϊοῦ
βαϊ
βαΐζονς
βαάσασι
βαάσαι
βδέλυγμα
βεβηλοῦσι
βεβληη
βεελζεβούλ
βεελζεϐοὺλ
βεϐαρηοι
βεϐλημμένην
βεϐληο
βηθλεὲμ
βηθσαϊδὰ
βηθφαγῆ
βηθίᾳ
βηϑανία
βηϑλεὲμ
βιάζετ
βιααὶ
βλέπετε
βλέπε
βλέποντας
βλέπουσι
βλέποτες
βλέπωσιν
βλέπω
βλέπ
βλέπς
βλέψετε
βλέϖετε
βλέετε
βλέοντες
βλέουσι
βλέω
βλές
βλήθητϊ
βλασφημία
βλασφημί
βλασφημΐα
βλασφημ
βληθήσῃ
βληθείσῃ
βληθῇ
βληθαι
βληθ
βληϑῇ
βληέο
βοή
βοσκομέη
βούλῃται
βοὸζ
βοῶντος
βροχὴ
βρυγμὸς
βρυγμὸ
βρώματα
βρώμαα
βρέχ
βρῶσις
βρῶσῖς
βϊϐλίο
βόθυνο
βόσκοντε
βάσιλεὺ
βάε
βάε
βάονας
βάισμα
γΐνεται
