ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Corrected	Error	Variance	Context	Inflection	Resolved
	14	Mat 	1	14	10	ἀχ	αχην	αχειμ	G885	N-PRI	Ἀχείμ	P	V	C	Spelling-X	None	None	1	0	0	1	1	0	1
	14	Mat 	1	14	11	ἀχ	αχην	αχειμ	G885	N-PRI	Ἀχείμ	P	V	C	Spelling-X	None	None	1	0	0	1	1	0	1
	14	Mat 	1	14	13	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	15	Mat 	1	15	3	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	15	Mat 	1	15	8	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	15	Mat 	1	15	13	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	16	Mat 	1	16	3	ἐγέννησε	εγεννησεν	εγεννησεν	G1080	V-AAI-3S	γεννάω							0	0	0	0	0	0	1
	18	Mat 	1	18	9	μνηήσης	μνηστενθησης	μνηστευθεισης	G3423	V-APP-GSF	μνηστεύω	P	E	C	Spelling-X	None	None	1	0	1	0	1	0	1
	18	Mat 	1	18	12	μηέρο	μητερος	μητρος	G3384	N-GSF	μήτηρ	P	V	I	Spelling-X	P-V-I-X	None	1	0	0	1	0	1	1
	20	Mat 	1	20	8	κα	κατ᾽	κατ	G2596	PREP	κατά	P	V	CI	Punctuation-P	P-V-CI-P	None	1	0	0	1	1	1	1
	23	Mat 	1	23	17		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
	23	Mat 	1	23	19	ο	μενον	μενον	G3306	V-PAP-ASN	μένω							0	0	0	0	0	0	1
	24	Mat 	1	24	15	έλαϐε	παρελαβεν	παρελαβε	G3880	V-2AAI-3S	παραλαμβάνω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
	25	Mat 	1	25	7	ἔκε	ετεκεν	ετεκεν	G5088	V-2AAI-3S	τίκτω							0	0	0	0	0	0	1
	25	Mat 	1	25	14	ἐκάλεσε	εκαλεσεν	εκαλεσεν	G2564	V-AAI-3S	καλέω							0	0	0	0	0	0	1
	27	Mat 	2	2	8	ἰουδω;	ιουδαιων;	ιουδαιων	G2453	A-GPM	Ἰουδαῖος	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	27	Mat 	2	2	20	ἀυὸ	αυτον	αυτον	G846	P-ASM	αὐτός							0	0	0	0	0	0	1
	28	Mat 	2	3	10	μεʼ	μετ'	μετ	None	None	None				None	None	None	0	0	0	0	0	0	1
	30	Mat 	2	5	9	ὅυτως	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
	31	Mat 	2	6	15	μοι	μοι	μοι	G3427	P-1DS	ἐγώ							0	0	0	0	0	0	1
	31	Mat 	2	6	18	ὅ	ος	ος	G3739	R-NSM	ὅς							0	0	0	0	0	0	1
	31	Mat 	2	6	19		τις	τις	G5101	I-NSM	τίς							0	0	0	0	0	0	1
	32	Mat 	2	7	7	ἡκρίϐωσε	ηκριβωσεν	ηκριβωσε	G198	V-AAI-3S	ἀκριβόω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
	32	Mat 	2	7	13	φνα	φαιναμενου	φαινομενου	G5316	V-PEP-GSM	φαίνω	PC	V	C	Spelling-X	PC-V-C-X	 spells it φαιναμενου. TR spells it φαινομενου.	1	1	0	1	1	0	1
	33	Mat 	2	8	6	ιπε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
	33	Mat 	2	8	13	ἐϖ͗ἂ	επ'αν	επαν	G1875	CONJ	ἐπάν	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
	33	Mat 	2	8	21	ςσκήσω	πρσσκυνησω	προσκυνησω	G4352	V-AAS-1S	προσκυνέω	PC	EV	C	Spelling-X	PC-EV-C-X	 is clearly errant in that the word is spelled with two sigmas (ςσ) and no omicron (οσ) as a vowel as in TR.	1	1	1	1	1	0	1
	33	Mat 	2	8	22	ἀυ	αυτον	αυτον	G846	P-ASM	αὐτός							0	0	0	0	0	0	1
	36	Mat 	2	11	17	ἀυὸ	αυτον	αυτον	G846	P-ASM	αὐτός							0	0	0	0	0	0	1
	37	Mat 	2	12	3	κα	κατ᾽	κατ	G2596	PREP	κατά	P	V	CI	Punctuation-P	P-V-CI-P	None	1	0	0	1	1	1	1
	38	Mat 	2	13	8	καʼ	κατ'	κατ	G2596	PREP	κατά	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
	39	Mat 	2	14	4	έλαϐε	παρελαβεν	παρελαβε	G3880	V-2AAI-3S	παραλαμβάνω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
	40	Mat 	2	15	17	φροφή	φροφητου	προφητου	G4396	N-GSM	προφήτης	PC	EV	C	Spelling-X	PC-EV-C-X	 - φροφητου spelling error φ should be π TR – προφητου	1	1	1	1	1	0	1
	41	Mat 	2	16	13	ἁνλε	ανειλεν	ανειλε	G337	V-2AAI-3S	ἀναιρέω	P	V	C	Spelling-X	P-V-C-X	None	1	0	0	1	1	0	1
	41	Mat 	2	16	27	δυετοὺς	δυετους	διετους	G1332	A-GSM	διετής	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
