ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Critical	Error	Variance	Context	Inflection	Resolved
44	31	Mat 	2	6	15	μοι	μοι	μοι	G3427	P-1DS	ἐγώ							0	0	0	0	0	0	1
45	31	Mat 	2	6	18	ὅ	ος	ος	G3739	R-NSM	ὅς							0	0	0	0	0	0	1
46	31	Mat 	2	6	19		τις	τις	G5101	I-NSM	τίς							0	0	0	0	0	0	1
47	33	Mat 	2	8	6	ιπε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
48	33	Mat 	2	8	22	ἀυ	αυτον	αυτον	G846	P-ASM	αὐτός							0	0	0	0	0	0	1
49	36	Mat 	2	11	17	ἀυὸ	αυτον	αυτον	G846	P-ASM	αὐτός							0	0	0	0	0	0	1
50	43	Mat 	2	18	18	ἠθελε	ηθελεν	ηθελεν	G2309	V-IAI-3S	θέλω							0	0	0	0	0	0	1
51	43	Mat 	2	18	22	ἐισί	εισιν	εισιν	G1526	V-PXI-3P	εἰσί							0	0	0	0	0	0	1
52	50	Mat 	3	2	4	ἤικἐ	ηγγικεν	ηγγικεν	G1448	V-RAI-3S	ἐγγίζω							0	0	0	0	0	0	1
53	51	Mat 	3	3	3	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
54	52	Mat 	3	4	5	ιχε	ειχεν	ειχεν	G2192	V-IAI-3S	ἔχω							0	0	0	0	0	0	1
55	57	Mat 	3	9	21		του	του	G3588	T-GSM	ὁ							0	0	0	0	0	0	1
56	59	Mat 	3	11	16	ὶ	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
57	63	Mat 	3	15	5	ιε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
58	63	Mat 	3	15	10	ὅυως	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
59	64	Mat 	3	16	17	ιδε	ειδεν	ειδεν	G1492	V-2AAI-3S	εἴδω							0	0	0	0	0	0	1
60	67	Mat 	4	2	9	ἐπείνασεν	επεινασεν	επεινασεν	G3983	V-AAI-3S	πεινάω							0	0	0	0	0	0	1
61	67	Mat 	4	2	10	ἐπείνασεν	επεινασεν	επεινασεν	G3983	V-AAI-3S	πεινάω							0	0	0	0	0	0	1
62	69	Mat 	4	4	4	ιπε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
63	70	Mat 	4	5	11	ἔησε	εστησεν	εστησεν	G2476	V-AAI-3S	ἵστημι							0	0	0	0	0	0	1
64	71	Mat 	4	6	24	ἀρσί	αρουσιν	αρουσιν	G142	V-FAI-3P	αἴρω							0	0	0	0	0	0	1
65	75	Mat 	4	10	7	ὀίσω	οπισω	οπισω	G3694	ADV	ὀπίσω							0	0	0	0	0	0	1
66	75	Mat 	4	10	8	μ	μου	μου	G3450	P-1GS	ἐγώ							0	0	0	0	0	0	1
67	81	Mat 	4	16	7	ιδε	ειδεν	ειδεν	G1492	V-2AAI-3S	εἴδω							0	0	0	0	0	0	1
68	82	Mat 	4	17	11	ἤικε	ηγγικεν	ηγγικεν	G1448	V-RAI-3S	ἐγγίζω							0	0	0	0	0	0	1
69	83	Mat 	4	18	10	ιδε	ειδεν	ειδεν	G1492	V-2AAI-3S	εἴδω							0	0	0	0	0	0	1
70	93	Mat 	5	3	8	ὶ	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
71	101	Mat 	5	11	9	ἔιπωσι	ειπωσιν	ειπωσιν	G2036	V-2AAS-3P	ἔπω							0	0	0	0	0	0	1
72	101	Mat 	5	11	14	ἡμῶ	ημων	ημων	G2257	P-1GP	ἐγώ							0	0	0	0	0	0	1
73	102	Mat 	5	12	12	ὅυω	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
74	105	Mat 	5	15	16	πᾶσι	πασιν	πασιν	G3956	A-DPN	πᾶς							0	0	0	0	0	0	1
75	106	Mat 	5	16	1	ὅυτως	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
76	109	Mat 	5	19	9	ἐλαχίο	ελαχιστον	ελαχιστον	G1646	A-ASN	ἐλάχιστος							0	0	0	0	0	0	1
77	109	Mat 	5	19	12	ὅυως	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
78	113	Mat 	5	23	10		και	και	G2532	CONJ	καί							0	0	0	0	0	0	1
79	113	Mat 	5	23	11	ἐκ	εκει	εκει	G1563	ADV	ἐκεῖ							0	0	0	0	0	0	1
80	119	Mat 	5	29	8	σκδαλίζῃ	σκανδαλιζη	σκανδαλιζη	G4624	V-PAS-3S	σκανδαλίζω							0	0	0	0	0	0	1
81	120	Mat 	5	30	21		του	του	G3588	T-GSM	ὁ							0	0	0	0	0	0	1
82	124	Mat 	5	34	14		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
83	125	Mat 	5	35	7		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
84	125	Mat 	5	35	16		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
85	137	Mat 	5	47	15	ὅυτω	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
86	138	Mat 	5	48	14	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
87	140	Mat 	6	2	3	οις	ποιεις	ποιεις	G4160	V-PAI-2S	ποιέω							0	0	0	0	0	0	1
88	140	Mat 	6	2	31	ἀυ	αυτου	αυτου	G846	P-GSM	αὐτός							0	0	0	0	0	0	1
89	144	Mat 	6	6	8	αμον	ταμειον	ταμειον	G5009	N-NSN	ταμεῖον							0	0	0	0	0	0	1
90	146	Mat 	6	8	5	ιδε	οιδεν	οιδεν	G1492	V-RAI-3S	εἴδω							0	0	0	0	0	0	1
91	147	Mat 	6	9	1	Οὕ	ουτος	ουτος	G3778	D-NSM	οὗτος							0	0	0	0	0	0	1
92	151	Mat 	6	13	15	ὶ	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
93	152	Mat 	6	14	14	ἡμῶν	ημων	ημων	G2257	P-1GP	ἐγώ							0	0	0	0	0	0	1
94	157	Mat 	6	19	18	κλέπουσι	κλεπτουσιν	κλεπτουσιν	G2813	V-PAI-3P	κλέπτω							0	0	0	0	0	0	1
95	159	Mat 	6	21	3	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
96	160	Mat 	6	22	5	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
97	161	Mat 	6	23	22	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
98	163	Mat 	6	25	2		δε	δε	G1161	CONJ	δέ							0	0	0	0	0	0	1
99	163	Mat 	6	25	26	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
100	170	Mat 	6	32	7	ιδε	οιδεν	οιδεν	G1492	V-RAI-3S	εἴδω							0	0	0	0	0	0	1
101	176	Mat 	7	4	6	σο	σον	σον	G4674	S-2ASN	σός							0	0	0	0	0	0	1
102	176	Mat 	7	4	14	σο	σον	σον	G4674	S-2ASN	σός							0	0	0	0	0	0	1
103	184	Mat 	7	12	11	ὅυ	ου	ου	G3739	R-GSM	ὅς							0	0	0	0	0	0	1
104	187	Mat 	7	15	15	ἐισι	εισιν	εισιν	G1526	V-PXI-3P	εἰσί							0	0	0	0	0	0	1
105	189	Mat 	7	17	1	ὅυτως	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
106	190	Mat 	7	18	12	ποὺς	πους	πους	G4228	N-NSM	πούς							0	0	0	0	0	0	1
107	194	Mat 	7	22	2	ἐρσι	ερουσιν	ερουσιν	G2046	V-FAI-3P	ἐρέω							0	0	0	0	0	0	1
108	196	Mat 	7	24	3	ὅς	ος	ος	G3739	R-NSM	ὅς							0	0	0	0	0	0	1
109	196	Mat 	7	24	4	τις	τις	τις	G5101	I-NSM	τίς							0	0	0	0	0	0	1
110	196	Mat 	7	24	18	ᾠκοδόμησεν	ωκοδομησεν	ωκοδομησεν	G3618	V-AAI-3S	οἰκοδομέω							0	0	0	0	0	0	1
111	197	Mat 	7	25	20	ἔπεσε	επεσεν	επεσεν	G4098	V-2AAI-3S	πίπτω							0	0	0	0	0	0	1
112	198	Mat 	7	26	16	ὅς	ος	ος	G3739	R-NSM	ὅς							0	0	0	0	0	0	1
113	198	Mat 	7	26	17	ις	τις	τις	G5101	I-NSM	τίς							0	0	0	0	0	0	1
114	199	Mat 	7	27	21	ἔεσε	επεσεν	επεσεν	G4098	V-2AAI-3S	πίπτω							0	0	0	0	0	0	1
115	200	Mat 	7	28	4	ἐτέλεσε	ετελεσεν	ετελεσεν	G5055	V-AAI-3S	τελέω							0	0	0	0	0	0	1
116	202	Mat 	8	1	1	Καταβά	καταβαν	καταβαν	G2597	V-2AAP-ASN	καταβαίνω							0	0	0	0	0	0	1
117	202	Mat 	8	1	2	τι	τι	τι	G5100	X-ASN	τίς							0	0	0	0	0	0	1
118	205	Mat 	8	4	9	ἀλλὰ	αλλα	αλλα	G235	CONJ	ἀλλά							0	0	0	0	0	0	1
119	205	Mat 	8	4	20	οσέταξεν	προσεταξεν	προσεταξεν	G4367	V-AAI-3S	προστάσσω							0	0	0	0	0	0	1
120	211	Mat 	8	10	5	ἐθαύμασεν	εθαυμασεν	εθαυμασεν	G2296	V-AAI-3S	θαυμάζω							0	0	0	0	0	0	1
121	211	Mat 	8	10	7	ιε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
122	211	Mat 	8	10	13	ὁυ	ου	ου	G3739	R-GSM	ὅς							0	0	0	0	0	0	1
123	211	Mat 	8	10	18		το	το	G3588	T-NSN	ὁ							0	0	0	0	0	0	1
124	212	Mat 	8	11	10	ἥξσιν	ηξουσιν	ηξουσιν	G2240	V-FAI-3P	ἥκω							0	0	0	0	0	0	1
125	214	Mat 	8	13	6	ἑκανάρχῃ	εκατονταρχη	εκατονταρχη	G1543	N-DSM	ἑκατοντάρχης							0	0	0	0	0	0	1
126	215	Mat 	8	14	9	ιδε	ειδεν	ειδεν	G1492	V-2AAI-3S	εἴδω							0	0	0	0	0	0	1
127	217	Mat 	8	16	4	οσήνεγκε	προσηνεγκεν	προσηνεγκεν	G4374	V-AAI-3S	προσφέρω							0	0	0	0	0	0	1
128	217	Mat 	8	16	9	έβαλε	εξεβαλεν	εξεβαλεν	G1544	V-2AAI-3S	ἐκβάλλω							0	0	0	0	0	0	1
129	221	Mat 	8	20	9	ἔχουσι	εχουσιν	εχουσιν	G2192	V-PAI-3P	ἔχω							0	0	0	0	0	0	1
130	227	Mat 	8	26	10	ἐπείμησε	επετιμησεν	επετιμησεν	G2008	V-AAI-3S	ἐπιτιμάω							0	0	0	0	0	0	1
131	228	Mat 	8	27	7	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
132	233	Mat 	8	32	16	ὤρμησεν	ωρμησεν	ωρμησεν	G3729	V-AAI-3S	ὁρμάω							0	0	0	0	0	0	1
133	236	Mat 	9	1	3	ὁ	ο	ο	G3588	T-NSM	ὁ							0	0	0	0	0	0	1
134	236	Mat 	9	1	4	ΙΗΣΟΥΣ	ιησους	ιησους	G2424	N-NSM	Ἰησοῦς							0	0	0	0	0	0	1
135	237	Mat 	9	2	16	ιπε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
136	239	Mat 	9	4	9	ἵνα	ινα	ινα	G2443	CONJ	ἵνα							0	0	0	0	0	0	1
137	239	Mat 	9	4	10	ί	τι	τι	G5100	X-ASN	τίς							0	0	0	0	0	0	1
138	243	Mat 	9	8	5	ἐθάυμασε	εθαυμασεν	εθαυμασεν	G2296	V-AAI-3S	θαυμάζω							0	0	0	0	0	0	1
139	248	Mat 	9	13	6	ἔλεοσ	ελεος	ελεος	G1656	N-NSM	ἔλεος							0	0	0	0	0	0	1
140	249	Mat 	9	14	8	δια	δια	δια	G1223	PREP	διά							0	0	0	0	0	0	1
141	249	Mat 	9	14	9	τΐ	τι	τι	G5100	X-ASN	τίς							0	0	0	0	0	0	1
142	249	Mat 	9	14	21	νηέυουσι	νηστευουσιν	νηστευουσιν	G3522	V-PAI-3P	νηστεύω							0	0	0	0	0	0	1
143	256	Mat 	9	21	1	ἔλεγε	ελεγεν	ελεγεν	G3004	V-IAI-3S	λέγω							0	0	0	0	0	0	1
144	257	Mat 	9	22	8	ιε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω							0	0	0	0	0	0	1
145	259	Mat 	9	24	6	ἀπέθανε	απεθανεν	απεθανεν	G599	V-2AAI-3S	ἀποθνήσκω							0	0	0	0	0	0	1
146	265	Mat 	9	30	3	ἀυ	αυτου	αυτου	G846	P-GSM	αὐτός							0	0	0	0	0	0	1
147	267	Mat 	9	32	5	οσήνεγκε	προσηνεγκεν	προσηνεγκεν	G4374	V-AAI-3S	προσφέρω							0	0	0	0	0	0	1
148	273	Mat 	9	38	8	κ	εκ	εκ	G1537	PREP	ἐκ							0	0	0	0	0	0	1
149	273	Mat 	9	38	9	βάλῃ	βαλη	βαλη	G906	V-2AAS-3S	βάλλω							0	0	0	0	0	0	1
150	274	Mat 	10	1	10	κατὰ	κατα	κατα	G2596	PREP	κατά							0	0	0	0	0	0	1
151	275	Mat 	10	2	7	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
152	283	Mat 	10	10	19	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
153	284	Mat 	10	11	14	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
154	284	Mat 	10	11	15		και	και	G2532	CONJ	καί							0	0	0	0	0	0	1
155	284	Mat 	10	11	16	ἐκ	εκει	εκει	G1563	ADV	ἐκεῖ							0	0	0	0	0	0	1
156	290	Mat 	10	17	6	αδώσουσι	παραδωσουσιν	παραδωσουσιν	G3860	V-FAI-3P	παραδίδωμι							0	0	0	0	0	0	1
157	292	Mat 	10	19	2	ἂ	αν	αν	G302	PRT	ἄν							0	0	0	0	0	0	1
158	299	Mat 	10	26	7	ἐι	εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
159	303	Mat 	10	30	10	ἐισὶ	εισιν	εισιν	G1526	V-PXI-3P	εἰσί							0	0	0	0	0	0	1
160	304	Mat 	10	31	7	ἡμς	ημεις	ημεις	G2249	P-1NP	ἐγώ							0	0	0	0	0	0	1
161	305	Mat 	10	32	3	ὅ	ος	ος	G3739	R-NSM	ὅς							0	0	0	0	0	0	1
162	305	Mat 	10	32	4	ς	τις	τις	G5101	I-NSM	τίς							0	0	0	0	0	0	1
163	311	Mat 	10	38	13	ἔι	εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
164	313	Mat 	10	40	4	ἐμὴ	εμη	εμη	G1699	S-1NSF	ἐμός							0	0	0	0	0	0	1
165	315	Mat 	10	42	20	ἀπολέσ	απολεσει	απολεσει	G622	V-FAI-3S	ἀπόλλυμι							0	0	0	0	0	0	1
166	320	Mat 	11	5	5	περιπατοῦσι	περιπατουσιν	περιπατουσιν	G4043	V-PAP-DPM	περιπατέω							0	0	0	0	0	0	1
167	320	Mat 	11	5	10	ἀκούουσι	ακουουσιν	ακουουσιν	G191	V-PAI-3P	ἀκούω							0	0	0	0	0	0	1
168	321	Mat 	11	6	3	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
169	325	Mat 	11	10	3	ιν	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
170	329	Mat 	11	14	6	ι	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
171	331	Mat 	11	16	8	ὶ	εξιν	εξιν	G1838	N-ASF	ἕξις							0	0	0	0	0	0	1
172	331	Mat 	11	16	14	ροσφωνοῦσι	προσφωνουσιν	προσφωνουσιν	G4377	V-PAI-3P	προσφωνέω							0	0	0	0	0	0	1
173	333	Mat 	11	18	1	ἦλθε	ηλθεν	ηλθεν	G2064	V-2AAI-3S	ἔρχομαι							0	0	0	0	0	0	1
174	333	Mat 	11	18	4	μή	μη	μη	G3361	PRT-N	μή							0	0	0	0	0	0	1
175	333	Mat 	11	18	5		τε	τε	G5037	PRT	τέ							0	0	0	0	0	0	1
176	333	Mat 	11	18	7	μή	μη	μη	G3361	PRT-N	μή							0	0	0	0	0	0	1
177	333	Mat 	11	18	8		τε	τε	G5037	PRT	τέ							0	0	0	0	0	0	1
178	333	Mat 	11	18	11	λέγουσι	λεγουσιν	λεγουσιν	G3004	V-PAI-3P	λέγω							0	0	0	0	0	0	1
179	333	Mat 	11	18	12	ὅτι	οτι	οτι	G3754	CONJ	ὅτι							0	0	0	0	0	0	1
180	346	Mat 	12	1	9	σάϐϐασιν	σαββασιν	σαββασιν	G4521	N-DPN	σάββατον							0	0	0	0	0	0	1
181	348	Mat 	12	3	8	ἐϖοίησεν	εποιησεν	εποιησεν	G4160	V-AAI-3S	ποιέω							0	0	0	0	0	0	1
182	350	Mat 	12	5	19	ἐισι	εισιν	εισιν	G1526	V-PXI-3P	εἰσί							0	0	0	0	0	0	1
183	352	Mat 	12	7	6	ἔλεοσ	ελεος	ελεος	G1656	N-NSM	ἔλεος							0	0	0	0	0	0	1
184	353	Mat 	12	8	3	ἐι	εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
185	355	Mat 	12	10	14	ἔξει	εξεστιν	εξεστιν	G1832	V-PQI-3S	ἔξεστι							0	0	0	0	0	0	1
186	355	Mat 	12	10	16	σάββασι	σαββασιν	σαββασιν	G4521	N-DPN	σάββατον							0	0	0	0	0	0	1
187	357	Mat 	12	12	7	ἔξει	εξεστιν	εξεστιν	G1832	V-PQI-3S	ἔξεστι							0	0	0	0	0	0	1
188	357	Mat 	12	12	9	σάββασι	σαββασιν	σαββασιν	G4521	N-DPN	σάββατον							0	0	0	0	0	0	1
189	366	Mat 	12	21	7	ἐλισι	ελπιουσιν	ελπιουσιν	G1679	V-FAI-3P-ATT	ἐλπίζω							0	0	0	0	0	0	1
190	371	Mat 	12	26	7	ἐκ	εκ	εκ	G1537	PREP	ἐκ							0	0	0	0	0	0	1
191	371	Mat 	12	26	8	βάλλ	βαλλει	βαλλει	G906	V-PAI-3S	βάλλω							0	0	0	0	0	0	1
192	372	Mat 	12	27	14	ἐκβάλλουσι	εκβαλλουσιν	εκβαλλουσιν	G1544	V-PAI-3P	ἐκβάλλω							0	0	0	0	0	0	1
193	373	Mat 	12	28	1	ἐι	ειδε	ειδε	G1492	V-2AAI-3S	εἴδω							0	0	0	0	0	0	1
194	375	Mat 	12	30	7	μοῦ	μου	μου	G3450	P-1GS	ἐγώ							0	0	0	0	0	0	1
195	375	Mat 	12	30	8	ἐι	εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
196	377	Mat 	12	32	3	ἐὰ	εαν	εαν	G1437	COND	ἐάν							0	0	0	0	0	0	1
197	377	Mat 	12	32	22	ὀυ	ου	ου	G3739	R-GSM	ὅς							0	0	0	0	0	0	1
198	380	Mat 	12	35	5		των	των	G3588	T-GPF	ὁ							0	0	0	0	0	0	1
