ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Critical	Error	Variance	Context	Inflection	Resolved
29	40	Mat 	2	15	17	φροφή	φροφητου	προφητου	G4396	N-GSM	προφήτης	PC	EV	C	Spelling-X	PC-EV-C-X	" - φροφητου spelling error φ should be π

TR - προφητου"	1	1	1	1	1	0	1
30	41	Mat 	2	16	13	ἁνλε	ανειλεν	ανειλε	G337	V-2AAI-3S	ἀναιρέω	P	V	C	Spelling-X	P-V-C-X	None	1	0	0	1	1	0	1
31	41	Mat 	2	16	27	δυετοὺς	δυετους	διετους	G1332	A-GSM	διετής	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
32	41	Mat 	2	16	34	ἠκρίϐωσε	ηκριβωσεν	ηκριβωσε	G198	V-AAI-3S	ἀκριβόω	PC	V	I	Spelling-X	PC-V-I-X		1	1	0	1	0	1	1
33	44	Mat 	2	19	8	καʼ	κατ'	κατ	G2596	PREP	κατά	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
34	45	Mat 	2	20	15	Τεθνήκασι	τεθνηκασιν	τεθνηκασι	G2348	V-RAI-3P	θνήσκω				Spelling-X	---X		0	0	0	0	0	0	1
35	46	Mat 	2	21	4	έλαϐε	παρελαβεν	παρελαβε	G3880	V-2AAI-3S	παραλαμβάνω	PC	V	CI	Spelling-X	PC-V-CI-X		1	1	0	1	1	1	1
36	47	Mat 	2	22	19	κα	κατ᾽	κατ	G2596	PREP	κατά	P	V	CI	Punctuation-P	P-V-CI-P	None	1	0	0	1	1	1	1
37	48	Mat 	2	23	7	ναζαρέθ	ναζαρεθ	ναζαρετ	G3478	N-PRI	Ναζαρέθ	PC	V	C	Spelling-X	PC-V-C-X		1	1	0	1	1	0	1
38	54	Mat 	3	6	6	ὑϖʼ	υπ'	υπ	G5259	PREP	ὑπό	P	V	C	Diacritic-D	P-V-C-D	None	1	0	0	1	1	0	1
39	55	Mat 	3	7	24	ὀρῆς;	οργησ;	οργης	G3709	N-GSF	ὀργή	C	E	C	Punctuation-P	C-E-C-P		0	1	1	0	1	0	1
40	61	Mat 	3	13	16	ὑϖʼ	υπ'	υπ	G5259	PREP	ὑπό	P	V	C	Diacritic-D	P-V-C-D	None	1	0	0	1	1	0	1
41	64	Mat 	3	16	27	ἐϖʼ	επ'	επ	G1909	PREP	ἐπί	PC	V		Diacritic-D	PC-V--D	None	1	1	0	1	0	0	1
42	66	Mat 	4	1	11	πραν	πειρασθουναι	πειρασθηναι	G3985	V-APN	πειράζω	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
43	69	Mat 	4	4	7	ἐϖʼ	επ'	επ	G1909	PREP	ἐπί	PC	V		Punctuation-P	PC-V--P	None	1	1	0	1	0	0	1
44	69	Mat 	4	4	12	ἀλλʼ	αλλ'	αλλ	G235	CONJ	ἀλλά	P	V	C	Punctuation-P	P-V-C-P	None	1	0	0	1	1	0	1
45	71	Mat 	4	6	9	βάε	βαλλε	βαλε	G906	V-2AAM-2S	βάλλω	PC	V		Spelling-X	PC-V--X	TR uses βαλε	1	1	0	1	0	0	1
46	78	Mat 	4	13	4	ναζαρέθ	ναζαρεθ	ναζαρετ	G3478	N-PRI	Ναζαρέθ	C	E		Spacing-Y	C-E--Y	None	0	1	1	0	0	0	1
47	78	Mat 	4	13	15	νεφθαλὶμ	νεφθαλιμ	νεφθαλειμ	G3508	N-PRI	Νεφθαλείμ	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
48	80	Mat 	4	15	4	νεφθαλὶμ	νεφθαλιμ	νεφθαλειμ	G3508	N-PRI	Νεφθαλείμ	PC	V		Spelling-X	PC-V--X	TR uses νεφθαλειμ	1	1	0	1	0	0	1
49	95	Mat 	5	5	8	γ	γυν	γην	G1093	N-ASF	γῆ	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
50	101	Mat 	5	11	7	διώωσιν	διωξωσιν	διωξωσι	G1377	V-AAS-3P	διώκω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
51	101	Mat 	5	11	13	καϑʼ	καθ'	καθ	G2596	PREP	κατά	PC	V		Punctuation-P	PC-V--P	None	1	1	0	1	0	0	1
52	104	Mat 	5	14	12	ὄρεω	ορεως	ορους	G3735	N-GSN	ὄρος	PC	V	C	Spelling-X	PC-V-C-X	TR uses ορους	1	1	0	1	1	0	1
53	105	Mat 	5	15	10	ἁλλʼ	αλλ'	αλλ	G235	CONJ	ἀλλά	P	V	C	Punctuation-P	P-V-C-P	None	1	0	0	1	1	0	1
