ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Corrected	Error	Variance	Context	Inflection	Resolved
51	20	Mat 	1	20	8	κα	κατ᾽	κατ	G2596	PREP	κατά	P	V	CI	Punctuation-P	P-V-CI-P	None	1	0	0	1	1	1	1
52	23	Mat 	1	23	17		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
53	23	Mat 	1	23	19	ο	μενον	μενον	G3306	V-PAP-ASN	μένω							0	0	0	0	0	0	1
54	24	Mat 	1	24	15	έλαϐε	παρελαβεν	παρελαβε	G3880	V-2AAI-3S	παραλαμβάνω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
55	25	Mat 	1	25	7	ἔκε	ετεκεν	ετεκεν	G5088	V-2AAI-3S	τίκτω							0	0	0	0	0	0	1
56	25	Mat 	1	25	14	ἐκάλεσε	εκαλεσεν	εκαλεσεν	G2564	V-AAI-3S	καλέω							0	0	0	0	0	0	1
57	27	Mat 	2	2	8	ἰουδω;	ιουδαιων;	ιουδαιων	G2453	A-GPM	Ἰουδαῖος	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
58	27	Mat 	2	2	20	ἀυὸ	αυτον	αυτον	G846	P-ASM	αὐτός	P	V		None	P-V--	None	1	0	0	1	0	0	1
59	28	Mat 	2	3	10	μεʼ	μετ'	μετ	G3326	PREP	μετά	PC	E	I	Punctuation-P	PC-E-I-P	None	1	1	1	0	0	1	1
60	30	Mat 	2	5	9	ὅυτως	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
61	31	Mat 	2	6	15	μοι	μοι	μοι	G3427	P-1DS	ἐγώ	P	V	C	Omission-O	P-V-C-O	TR uses γαρ instead	1	0	0	1	1	0	1
62	31	Mat 	2	6	18	ὅ	ος	ος	G3739	R-NSM	ὅς	P	V		None	P-V--	None	1	0	0	1	0	0	1
63	31	Mat 	2	6	19		τις	τις	G5101	I-NSM	τίς	P	V		None	P-V--	None	1	0	0	1	0	0	1
64	32	Mat 	2	7	7	ἡκρίϐωσε	ηκριβωσεν	ηκριβωσε	G198	V-AAI-3S	ἀκριβόω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
65	32	Mat 	2	7	13	φνα	φαιναμενου	φαινομενου	G5316	V-PEP-GSM	φαίνω	PC	V	C	Spelling-X	PC-V-C-X	 spells it φαιναμενου. TR spells it φαινομενου.	1	1	0	1	1	0	1
66	33	Mat 	2	8	6	ιπε	ειπεν	ειπεν	G2036	V-2AAI-3S	ἔπω	P	V		None	P-V--	None	1	0	0	1	0	0	1
67	33	Mat 	2	8	13	ἐϖ͗ἂ	επ'αν	επαν	G1875	CONJ	ἐπάν	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
