0xE0B2	mu_epsilon_nu_2		μεν	μεν		0xE762	mu_epsilon_nu_3	59234	57522
0xE0B3	mu_epsilon_nu_3		μεν	μὲν		0xE763	mu_epsilon_nu_4_varia	59235	57523
0xE0B4	mu_epsilon_nu_3_varia		μὲν	μὲν		0xE764	mu_epsilon_nu_3_varia	59236	57524
0xE0B5	mu_epsilon_nu_4_varia		μὲν	μέν		0xE765	mu_epsilon_nu_1_oxia	59237	57525
0xE0C0	nu_final		ν			0xE770	nu_final	59248	57536
0xE0D0	xi_1		ξ			0xE780	xi_1	59264	57552
0xE0E0	omicron_psili_perispomeni					0xE790	omicron_perispomeni	59280	57568
0xE0E1	omicron_upsilon		ου			0xE791	omicron_psili_perispomeni	59281	57569
0xE0E2	omicron_upsilon_oxia		οὺ			0xE792	omicron_dasia_perispomeni	59282	57570
0xE0E3	omicron_upsilon_persipomeni		οῦ	ου		0xE793	omicron_upsilon	59283	57571
0xE0E4	omicron_sigma		οσ	οὺ		0xE794	omicron_upsilon_oxia	59284	57572
0xE0E5	omicron_dasia_perispomeni			οῦ		0xE795	omicron_upsilon_persipomeni	59285	57573
0xE0E6	omicron_perispomeni		ο	οσ		0xE796	omicron_sigma	59286	57574
0xE0F0	pi_1		π	π		0xE7A0	pi_1	59296	57584
0xE0F1	pi_alpha_rho		παρ	παρ		0xE7A1	pi_alpha_rho	59297	57585
0xE0F2	pi_epsilon_rho		περ	περ		0xE7A2	pi_epsilon_rho	59298	57586
0xE0F3	pi_omicron		πο	πο		0xE7A3	pi_omicron	59299	57587
0xE0F4	pi_omicron_varia		πὸ	πὸ		0xE7A4	pi_omicron_varia	59300	57588
0xE0F5	pi_rho		πρ	πρ		0xE7A5	pi_rho	59301	57589
0xE0F6	pi_tau		πτ	πτ		0xE7A6	pi_tau	59302	57590
0xE0F7	Pi_1		Π	Π		0xE7A7	Pi_1	59303	57591
0xE110	sigma_1		σ	σ		0xE7C0	sigma_1	59328	57616
0xE111	sigma_theta		σθ	σθ		0xE7C1	sigma_theta	59329	57617
0xE112	sigma_sigma		σσ	σθαι		0xE7C2	sigma_theta_alpha_iota	59330	57618
