GlyphID,GlyphTifPath,GlyphDraw,GlyphName,Gsub,Chr,ChrFont,ChrFontSize,ChrUCodeHex,ChrUCodeDec,Language,Favorites
1,,,kai,και,,FROMVS,40,E741,59201,,
2,,,,,ᾳ,,,1FB3,8115,,
3,,,,,υ,,,3C5,965,,
4,,,,,,,,,,,
5,,,,,ῷ,,,1FF7,8183,,
