Sequence,Description,MilestoneName,SourceModule,DestinationModule,Method,DialogUi,UITrigger,Category,DefaultSource,Default Destination
ASPF,acquire project pdf source pages from file,src_pages_acquired,MyExplorer,MyServer,on_new_project_clicked,ProjectCreationWizardDialogUI.ui,actionNewProject,,MyExplorer selection,Model/Project/Images/MyServer/source_images/pdf_acq_src_image
ASPS,acquire project pdf source pages from scanner,src_pages_scanned,MyScanner,MyServer,actionScanImage,,actionScanImage,,MyScanner production,Model/Project/Images/MyScanner/scanned_images/pdf_scan_src_image
CASS,combine acquired and scanned source pages,src_pages_combined,MyServer,MyPixler,actionCombineSourcePages,,actionCombineSourcePages,,Model/Project/Images/MyServer/source_images/pdf_acq_src_image + Model/Project/Images/MyScanner/scanned_images/pdf_scan_src_image,Model/Project/Images/MyServer/source_images/pdf_combined_src_images
,,combined_src_images_staged,,,,,,,Model/Project/Images/MyServer/source_images/pdf_combined_src_images,Model/Project/Images/MyPixler/SourceStaged/Workflow/pdf_staged_src_image
EAFP,stage combined pdf source pages file for front matter pages workflow,combined_front_matter_src_pages_staged,MyServer,MyPixler,,,,,Model/Project/Images/MyServer/source_images/pdf_combined_src_images,Model/Project/Images/MyPixler/VerseSections/Workflow/1_pdf_front_src_pages_staged
EAMP,stage combined pdf source pages file for middle matter pages workflow,combined_middle_matter_src_pages_staged,MyServer,MyPixler,,,,,Model/Project/Images/MyServer/source_images/pdf_combined_src_images,Model/Project/Images/MyPixler/VerseSections/Workflow/7_pdf_middle_src_pages_staged
EAVP,stage combined pdf source pages file for verses pages workflow,combined_verses_src_pages_staged,MyServer,MyPixler,,,,,Model/Project/Images/MyServer/source_images/pdf_combined_src_images,Model/Project/Images/MyPixler/VerseSections/Workflow/14_pdf_verse_src_pages_staged
EABP,stage combined pdf source pages file for back matter pages workflow,combined_back_matter_src_pages_staged,MyServer,MyPixler,,,,,Model/Project/Images/MyServer/source_images/pdf_combined_src_images,Model/Project/Images/MyPixler/VerseSections/Workflow/21_pdf_back_src_pages_staged
