Line	Book	Chapter	Verse
528	Mat	15	39
529	Mat	16	1
530	Mat	16	2
531	Mat	16	3
532	Mat	16	4
533	Mat	16	5
534	Mat	16	6
535	Mat	16	7
536	Mat	16	8
537	Mat	16	9
538	Mat	16	10
539	Mat	16	11
540	Mat	16	12
541	Mat	16	13
542	Mat	16	14
543	Mat	16	15
544	Mat	16	16
545	Mat	16	17
546	Mat	16	18
547	Mat	16	19
548	Mat	16	20
549	Mat	16	21
550	Mat	16	22
551	Mat	16	23
552	Mat	16	24
553	Mat	16	25
554	Mat	16	26
555	Mat	16	27
556	Mat	16	28
557	Mat	17	1
558	Mat	17	2
559	Mat	17	3
560	Mat	17	4
561	Mat	17	5
562	Mat	17	6
563	Mat	17	7
564	Mat	17	8
565	Mat	17	9
566	Mat	17	10
567	Mat	17	11
568	Mat	17	12
569	Mat	17	13
570	Mat	17	14
571	Mat	17	15
572	Mat	17	16
573	Mat	17	17
574	Mat	17	18
575	Mat	17	19
576	Mat	17	20
577	Mat	17	21
578	Mat	17	22
579	Mat	17	23
580	Mat	17	24
581	Mat	17	25
582	Mat	17	26
583	Mat	17	27
584	Mat	18	1
585	Mat	18	2
586	Mat	18	3
587	Mat	18	4
588	Mat	18	5
589	Mat	18	6
590	Mat	18	7
591	Mat	18	8
592	Mat	18	9
593	Mat	18	10
594	Mat	18	11
595	Mat	18	12
596	Mat	18	13
597	Mat	18	14
598	Mat	18	15
599	Mat	18	16
600	Mat	18	17
601	Mat	18	18
602	Mat	18	19
603	Mat	18	20
604	Mat	18	21
605	Mat	18	22
606	Mat	18	23
607	Mat	18	24
608	Mat	18	25
609	Mat	18	26
610	Mat	18	27
611	Mat	18	28
612	Mat	18	29
613	Mat	18	30
614	Mat	18	31
615	Mat	18	32
616	Mat	18	33
617	Mat	18	34
618	Mat	18	35
619	Mat	19	1
620	Mat	19	2
621	Mat	19	3
622	Mat	19	4
623	Mat	19	5
624	Mat	19	6
625	Mat	19	7
626	Mat	19	8
627	Mat	19	9
628	Mat	19	10
629	Mat	19	11
630	Mat	19	12
631	Mat	19	13
632	Mat	19	14
633	Mat	19	15
634	Mat	19	16
635	Mat	19	17
636	Mat	19	18
637	Mat	19	19
638	Mat	19	20
639	Mat	19	21
640	Mat	19	22
641	Mat	19	23
642	Mat	19	24
643	Mat	19	25
