0xE7A5,pi_rho,E7A5,,πρ,,E7A7,0xE7A7,pi_rho
0xE7A4,pi_omicron_varia,E7A4,,πὸ,,E7A6,0xE7A6,pi_omicron_varia
0xE7A3,pi_omicron,E7A3,,πο,,E7A5,0xE7A5,pi_omicron
0xE7A2,pi_epsilon_rho,E7A2,,περ,,E7A4,0xE7A4,pi_epsilon_rho
0xE7A1,pi_alpha_rho,E7A1,,παρ,,E7A3,0xE7A3,pi_alpha_rho
0xE829,pisymbol_psili,E829,,'ϖ''',,E7A2,0xE7A2,pisymbol_psili
0xE82D,pi_psili,E82D,,'π''',,E7A1,0xE7A1,pi_psili
0xE796,omicron_sigma,E796,,οσ,,E79D,0xE79D,omicron_sigma
0xE795,omicron_upsilon_perispomeni,E795,,oῦ,,E79C,0xE79C,omicron_upsilon_persipomeni
0xE794,omicron_upsilon_tonos,E794,,oύ,,E79B,0xE79B,omicron_upsilon_tonos
0xE793,omicron_upsilon,E793,,ου,,E79A,0xE79A,omicron_upsilon
0xE792,omicron_dasia_perispomeni,E792,,,,E798,0xE798,omicron_dasia_perispomeni
0xE791,omicron_psili_perispomeni,E791,,,,E797,0xE797,omicron_psili_perispomeni
0xE790,omicron_perispomeni,E790,,,,E799,0xE799,omicron_perispomeni
0xE750,lambda_lambda,E750,,λλ,,E751,0xE751,lambda_lambda
0xE82C,lambda_psili,E82C,,'λ''',,E750,0xE750,lambda_psili
0xE722,phi_iota_oxia,E722,,φί,,E723,0xE723,phi_iota_tonos
0xE721,phi_iota,E721,,φι,,E722,0xE722,phi_iota
0xE82E,phi_psili,E82E,,'φ''',,E721,0xE721,phi_psili
0xE715,eta_nu_perispomeni,E715,,ῆν,,E718,0xE718,eta_perispomeni_nu
0xE716,eta_nu_varia_2,E716,,ὴν,,E717,0xE717,eta_varia_nu_2
0xE82A,epsilon_upsilon2,E82A,,ευ,,E6FF,0xE6FF,epsilon_upsilon_2
0xE6DA,gamma_rho,E6DA,,γρ,,E6DB,0xE6DB,gamma_rho
0xE826,gamma_omicron_2,E826,,γο,,E6DA,0xE6DA,gamma_omicron_2
0xE6B8,alpha_psili_sigma_tau,E6B8,,ἀστ,,E6B9,0xE6B9,alpha_psili_sigma_tau
0xE6B7,alpha_sigma_tau,E6B7,,αστ,,E6B8,0xE6B8,alpha_sigma_tau
0xE833,alpha_rho,E833,,αρ,,E6B7,0xE6B7,alpha_rho
0xE720,theta_1,E720,,θ,ϑ,3D1,0x3D1,theta_symbol
0xE6C0,beta_curly,E6C0,,β,ϐ,3D0,0x3D0,beta_symbol
