0xE83E,tau_tall_psili,E83E,,'τ''',,E7D1,0xE7D1,tau_tall_psili,Replace
0xE83D,epsilon_nu_2,E83D,,εν,,E867,0xE867,epsilon_nu_2,Replace
0xE83C,epsilon_nu,E83C,,εν,,E866,0xE866,epsilon_nu,Replace
0xE83B,alpha_sigma_2,E83B,,ασ,,E863,0xE863,alpha_sigma_2,Replace
0xE83A,omicron_iota_perispomeni_sigma2,E83A,,οῖσ,,E86B,0xE86B,omicron_iota_perispomeni_sigma,Replace
0xE839,omicron_sigma_2,E839,,οσ,,E86C,0xE86C,omicron_sigma_2,Replace
0xE838,alpha_iota_perispomeni_sigma,E838,,αῖσ,,E862,0xE862,alpha_iota_perispomeni_sigma,Replace
0xE837,alpha_nu_2,E837,,αν,,E861,0xE861,alpha_nu_2,Replace
0xE836,upsilon_tonos,E836,,ύ,,E7F1,0xE7F1,upsilon_tonos,Replace
0xE835,alpha_perispomeni_sigma,E835,,ᾶσ,,E864,0xE864,alpha_perispomeni_sigma,Replace
0xE834,iota_nu,E834,,ιν,,E868,0xE868,iota_nu,Replace
0xE833,alpha_rho,E833,,αρ,,E6B7,0xE6B7,alpha_rho,Replace
0xE832,upsilon_varia_nu,E832,,ὺν,,E7F5,0xE7F5,upsilon_varia_nu,Replace
0xE831,tau_omicron_2,E831,,το,,E7DC,0xE7DC,tau_omicron_2,Replace
0xE830,omega_perispomeni_sigma,E830,,σ,,E820,0xE820,omega_perispomeni_sigma,Replace
0xE82F,chi_psili,E82F,,'χ''',,E810,0xE810,chi_psili,Replace
0xE82E,phi_psili,E82E,,'φ''',,E721,0xE721,phi_psili,Replace
0xE82D,pi_psili,E82D,,'π''',,E7A1,0xE7A1,pi_psili,Replace
0xE82C,lambda_psili,E82C,,'λ''',,E750,0xE750,lambda_psili,Replace
0xE82B,epsilon_iota_sigma,E82B,,εισ,,E865,0xE865,epsilon_iota_sigma,Replace
0xE82A,epsilon_upsilon2,E82A,,ευ,,E6FF,0xE6FF,epsilon_upsilon_2,Replace
0xE829,pisymbol_psili,E829,,'ϖ''',,E7A2,0xE7A2,pisymbol_psili,Replace
0xE828,tau_alpha_iota_2,E828,,ται,,E7D4,0xE7D4,tau_alpha_iota_2,Replace
0xE827,iota_perispomeni_nu,E827,,ῖν,,E869,0xE869,iota_perispomeni_nu,Replace
0xE826,gamma_omicron_2,E826,,γο,,E6DA,0xE6DA,gamma_omicron_2,Replace
0xE825,iota_sigma,E825,,ισ,,E86A,0xE86A,iota_sigma,Replace
0xE824,alpha_nu_1,E824,,αν,,E860,0xE860,alpha_nu,Replace
0xE823,,E823,,ων,,E86E,0xE86E,omega_nu_2,Replace
0xE822,omega_perispomeni_nu,E822,,ῶν,,E86F,0xE86F,omega_perispomeni_nu,Replace
0xE821,slant_2,E821,,,,E841,0xE841,slant_2,Replace
0xE820,slant_1,E820,,,,E840,0xE840,slant_1,Replace
0xE810,chi_rho,E810,,χρ,,E811,0xE811,chi_rho,Replace
0xE7F5,upsilon_psili_perispomeni_nu,E7F5,,ὖν,,E7F7,0xE7F7,upsilon_psili_perispomeni_nu,Replace
0xE7F4,upsilon_perispomeni,E7F4,,ῦ,,E7F2,0xE7F2,upsilon_perispomeni,Replace
0xE7F3,upsilon_perispomeni_nu,E7F3,,ῦν,,E7F6,0xE7F6,upsilon_perispomeni,Replace
